"","doc_id","sdg01","sdg02","sdg03","sdg04","sdg05","sdg06","sdg07","sdg08","sdg09","sdg10","sdg11","sdg12","sdg13","sdg14","sdg15","sdg16","sgd17","sdg","gc","gri","int","company","country","year","ctrygrp"
"1","BE0003739530_2016_SR_0.pdf",1,0,7,0,0,0,3,2,0,1,0,0,3,0,0,3,4,12,1,13,0,"BE0003739530","BE",2016,"EUR"
"2","BE0003739530_2020_IR_0.pdf",2,0,7,0,0,0,1,0,0,1,0,0,2,0,1,6,5,22,0,40,0,"BE0003739530","BE",2020,"EUR"
"3","BE0974293251_2016_SR_0.pdf",2,3,0,0,0,5,1,3,0,0,0,0,2,0,3,3,5,8,0,3,0,"BE0974293251","BE",2016,"EUR"
"4","BE0974293251_2020_IR_0.pdf",1,0,16,0,2,11,10,4,0,2,0,0,10,0,8,0,8,10,0,2,0,"BE0974293251","BE",2020,"EUR"
"5","CH0008742519_2016_SR_0.pdf",0,0,2,1,0,0,53,0,0,0,0,0,5,0,8,3,5,3,0,39,0,"CH0008742519","CH",2016,"EUR"
"6","CH0008742519_2020_SR_0.pdf",1,0,0,0,2,0,37,0,0,11,0,1,5,0,9,3,10,13,0,47,0,"CH0008742519","CH",2020,"EUR"
"7","CH0012032048_2016_IR_0.pdf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,"CH0012032048","CH",2016,"EUR"
"8","CH0012032048_2020_IR_0.pdf",0,0,8,1,1,1,9,0,0,1,0,0,4,0,1,2,4,15,1,10,0,"CH0012032048","CH",2020,"EUR"
"9","CH0012138530_2016_SR_0.pdf",1,1,0,3,2,0,21,12,1,3,1,0,21,0,33,6,20,12,0,71,0,"CH0012138530","CH",2016,"EUR"
"10","CH0012138530_2020_SR_0.pdf",0,1,0,6,4,0,31,11,2,2,1,1,53,1,37,15,22,33,0,11,0,"CH0012138530","CH",2020,"EUR"
"11","CH0012214059_2016_SR_0.pdf",1,0,4,2,1,13,7,3,3,2,0,1,12,0,48,4,30,5,6,210,0,"CH0012214059","CH",2016,"EUR"
"12","CH0012214059_2020_IR_0.pdf",0,0,0,1,1,0,9,1,3,1,0,0,9,0,16,1,3,0,0,66,0,"CH0012214059","CH",2020,"EUR"
"13","CH0012280076_2016_IR_0.pdf",1,0,3,0,0,0,1,0,0,2,0,0,1,0,0,7,3,0,1,13,0,"CH0012280076","CH",2016,"EUR"
"14","CH0012280076_2020_IR_0.pdf",0,0,2,0,0,0,1,1,0,1,0,0,4,0,4,4,6,0,1,70,0,"CH0012280076","CH",2020,"EUR"
"15","CH0012549785_2016_SR_0.pdf",0,0,0,0,0,0,4,1,0,4,0,0,3,0,0,1,5,0,2,10,0,"CH0012549785","CH",2016,"EUR"
"16","CH0012549785_2020_IR_0.pdf",1,0,5,5,3,0,17,6,4,7,0,0,13,0,5,16,34,67,5,102,0,"CH0012549785","CH",2020,"EUR"
"17","CH0030170408_2016_IR_0.pdf",0,0,2,1,0,34,22,6,1,5,1,0,8,0,7,2,22,11,3,45,0,"CH0030170408","CH",2016,"EUR"
"18","CH0030170408_2020_IR_0.pdf",0,0,1,1,0,35,23,11,0,5,3,0,22,0,4,2,17,11,5,255,0,"CH0030170408","CH",2020,"EUR"
"19","CH0102484968_2016_SR_0.pdf",3,0,4,1,0,2,4,0,0,4,0,1,4,0,2,5,8,3,0,24,0,"CH0102484968","CH",2016,"EUR"
"20","CH0102484968_2020_SR_0.pdf",1,2,9,0,0,2,11,5,0,3,1,0,16,0,4,7,9,23,0,22,0,"CH0102484968","CH",2020,"EUR"
"21","CH0210483332_2016_SR_0.pdf",0,0,4,1,0,3,4,1,0,3,0,0,28,0,10,4,6,0,1,14,0,"CH0210483332","CH",2016,"EUR"
"22","CH0210483332_2020_SR_0.pdf",5,1,7,6,8,2,24,11,0,8,0,2,23,0,27,10,21,51,24,70,1,"CH0210483332","CH",2020,"EUR"
"23","CH0432492467_2020_SR_0.pdf",1,1,3,0,0,1,14,0,0,5,0,0,4,0,0,4,0,0,0,48,0,"CH0432492467","CH",2020,"EUR"
"24","DE0005190003_2016_SR_0.pdf",1,0,0,0,0,1,72,0,2,8,2,4,13,0,1,1,10,15,24,352,0,"DE0005190003","DE",2016,"EUR"
"25","DE0005190003_2020_IR_0.pdf",0,0,1,1,0,2,28,4,0,2,0,2,28,0,1,4,8,5,42,229,3,"DE0005190003","DE",2020,"EUR"
"26","DE0005439004_2016_SR_0.pdf",0,0,0,1,1,1,2,0,0,10,0,0,3,0,10,0,6,2,2,210,0,"DE0005439004","DE",2016,"EUR"
"27","DE0005439004_2020_IR_0.pdf",0,0,0,1,0,2,8,0,0,3,0,0,2,0,2,5,11,8,0,23,0,"DE0005439004","DE",2020,"EUR"
"28","DE0005552004_2016_SR_0.pdf",0,0,23,1,0,1,15,3,0,4,9,0,5,0,9,1,5,4,9,8,0,"DE0005552004","DE",2016,"EUR"
"29","DE0005552004_2020_SR_0.pdf",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,"DE0005552004","DE",2020,"EUR"
"30","DE0005557508_2016_GR_0.pdf",6,2,6,1,1,2,72,9,3,18,0,2,16,0,10,8,22,39,2,23,0,"DE0005557508","DE",2016,"EUR"
"31","DE0005557508_2016_SR_0.pdf",6,2,6,1,1,2,72,9,3,18,0,2,16,0,10,8,22,39,2,23,0,"DE0005557508","DE",2016,"EUR"
"32","DE0005557508_2020_GC_0.pdf",0,0,0,1,0,0,1,0,0,2,0,0,0,0,2,0,2,0,0,59,0,"DE0005557508","DE",2020,"EUR"
"33","DE0005557508_2020_SR_0.pdf",0,1,1,3,2,0,53,1,1,24,0,0,28,0,5,5,24,45,2,158,0,"DE0005557508","DE",2020,"EUR"
"34","DE0005810055_2016_IR_0.pdf",0,0,0,0,0,0,1,3,0,3,0,0,0,0,0,1,1,0,0,45,0,"DE0005810055","DE",2016,"EUR"
"35","DE0005810055_2020_GR_0.pdf",0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,0,"DE0005810055","DE",2020,"EUR"
"36","DE0005810055_2020_IR_0.pdf",0,0,0,2,1,0,7,6,0,2,0,3,2,0,0,6,5,27,2,17,0,"DE0005810055","DE",2020,"EUR"
"37","DE0006047004_2016_SR_0.pdf",0,0,0,0,0,1,8,1,0,2,0,0,3,0,35,3,4,0,1,18,0,"DE0006047004","DE",2016,"EUR"
"38","DE0006047004_2020_SR_0.pdf",0,0,0,0,0,10,6,1,2,1,0,1,23,0,32,3,8,1,1,200,0,"DE0006047004","DE",2020,"EUR"
"39","DE0006231004_2016_IR_0.pdf",0,1,2,1,1,4,29,2,1,10,1,0,7,0,3,3,11,0,0,33,0,"DE0006231004","DE",2016,"EUR"
"40","DE0006231004_2016_SR_0.pdf",0,1,2,1,1,4,15,1,1,9,1,0,4,0,3,2,10,0,0,26,0,"DE0006231004","DE",2016,"EUR"
"41","DE0006231004_2020_IR_0.pdf",0,0,2,1,1,5,58,4,0,11,0,1,16,0,4,2,19,0,0,105,0,"DE0006231004","DE",2020,"EUR"
"42","DE0006231004_2020_SR_0.pdf",0,0,2,1,1,5,19,3,0,11,0,1,9,0,4,2,16,0,0,103,0,"DE0006231004","DE",2020,"EUR"
"43","DE0006599905_2016_SR_0.pdf",2,0,5,5,2,11,19,5,0,21,1,2,11,0,18,0,39,20,4,21,0,"DE0006599905","DE",2016,"EUR"
"44","DE0006599905_2020_SR_0.pdf",1,0,15,1,3,10,23,2,0,6,0,3,46,0,17,4,17,16,3,63,0,"DE0006599905","DE",2020,"EUR"
"45","DE0007100000_2016_SR_0.pdf",0,0,2,2,0,2,24,0,0,3,0,0,2,0,19,3,11,61,0,38,0,"DE0007100000","DE",2016,"EUR"
"46","DE0007100000_2020_CR_0.pdf",0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0,0,"DE0007100000","DE",2020,"EUR"
"47","DE0007100000_2020_GR_0.pdf",0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,43,0,"DE0007100000","DE",2020,"EUR"
"48","DE0007100000_2020_SR_0.pdf",1,0,2,0,0,1,15,7,0,9,1,4,7,0,12,2,15,19,2,188,0,"DE0007100000","DE",2020,"EUR"
"49","DE0007164600_2016_IR_0.pdf",4,1,11,1,3,0,21,7,0,1,0,1,10,0,1,10,6,19,0,24,1,"DE0007164600","DE",2016,"EUR"
"50","DE0007164600_2020_IR_0.pdf",2,1,17,3,0,0,36,9,0,5,0,1,27,0,7,14,21,34,0,33,0,"DE0007164600","DE",2020,"EUR"
"51","DE0007165631_2016_IR_0.pdf",0,0,0,1,0,0,0,5,0,1,0,1,3,0,3,1,1,0,0,10,0,"DE0007165631","DE",2016,"EUR"
"52","DE0007165631_2020_IR_0.pdf",1,0,5,1,1,1,0,4,1,1,0,2,4,0,0,2,13,6,0,4,0,"DE0007165631","DE",2020,"EUR"
"53","DE0007664039_2016_SR_0.pdf",2,0,0,0,0,4,9,4,0,7,6,1,5,0,21,6,35,15,1,19,0,"DE0007664039","DE",2016,"EUR"
"54","DE0007664039_2020_SR_0.pdf",0,0,2,1,2,0,16,3,0,8,1,1,11,0,6,2,8,22,2,112,0,"DE0007664039","DE",2020,"EUR"
"55","DE0008404005_2016_SR_0.pdf",8,1,3,4,4,2,40,5,2,43,0,0,44,0,2,7,29,16,5,31,0,"DE0008404005","DE",2016,"EUR"
"56","DE0008404005_2020_GR_0.pdf",0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,135,0,"DE0008404005","DE",2020,"EUR"
"57","DE0008404005_2020_SR_0.pdf",2,1,56,3,7,1,48,3,1,7,2,0,161,0,7,3,37,44,11,68,0,"DE0008404005","DE",2020,"EUR"
"58","DE000A0D9PT0_2016_SR_0.pdf",0,0,0,2,1,4,11,2,0,17,0,0,10,0,1,1,1,0,0,78,0,"DE000A0D9PT0","DE",2016,"EUR"
"59","DE000A0D9PT0_2020_SR_0.pdf",0,0,0,6,6,2,14,12,2,2,1,8,52,0,0,11,24,107,18,53,0,"DE000A0D9PT0","DE",2020,"EUR"
"60","DE000A1EWWW0_2016_ER_0.pdf",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"DE000A1EWWW0","DE",2016,"EUR"
"61","DE000A1EWWW0_2016_SR_0.pdf",0,0,5,0,0,3,6,2,1,0,0,1,6,0,0,2,0,0,0,0,0,"DE000A1EWWW0","DE",2016,"EUR"
"62","DE000A1EWWW0_2020_ER_0.pdf",0,0,1,0,0,0,16,0,0,0,0,0,1,0,1,2,0,0,0,0,0,"DE000A1EWWW0","DE",2020,"EUR"
"63","DE000A1EWWW0_2020_IR_0.pdf",0,0,5,0,2,0,15,2,2,2,0,2,10,0,1,4,6,3,0,5,0,"DE000A1EWWW0","DE",2020,"EUR"
"64","DE000A1ML7J1_2016_SR_0.pdf",0,0,1,0,0,2,10,0,0,7,0,0,8,0,3,0,0,0,0,270,0,"DE000A1ML7J1","DE",2016,"EUR"
"65","DE000A1ML7J1_2020_SR_0.pdf",0,0,2,0,2,1,51,1,0,14,1,0,40,0,17,1,20,12,12,72,0,"DE000A1ML7J1","DE",2020,"EUR"
"66","DE000BAY0017_2016_IR_0.pdf",0,12,5,1,0,6,18,2,0,2,0,1,3,0,11,1,15,2,20,94,0,"DE000BAY0017","DE",2016,"EUR"
"67","DE000BAY0017_2020_SR_0.pdf",5,23,2,0,3,8,13,3,0,2,0,1,37,0,49,0,19,8,11,257,0,"DE000BAY0017","DE",2020,"EUR"
"68","DE000SYM9999_2016_IR_0.pdf",3,7,8,0,0,2,0,5,1,2,0,3,1,0,48,6,5,0,0,2,0,"DE000SYM9999","DE",2016,"EUR"
"69","DE000SYM9999_2020_GR_0.pdf",2,4,7,3,1,0,17,3,1,12,0,3,22,0,63,8,17,23,10,329,0,"DE000SYM9999","DE",2020,"EUR"
"70","DE000SYM9999_2020_IR_0.pdf",1,0,10,0,0,0,2,4,2,3,0,6,18,0,22,2,16,15,0,5,0,"DE000SYM9999","DE",2020,"EUR"
"71","DK0010268606_2016_SR_0.pdf",1,0,1,1,0,0,21,3,0,1,0,1,9,0,2,6,3,13,36,12,0,"DK0010268606","DK",2016,"EUR"
"72","DK0010268606_2020_SR_0.pdf",0,0,1,4,4,0,13,12,0,4,0,9,15,0,11,5,30,0,0,26,0,"DK0010268606","DK",2020,"EUR"
"73","DK0010274414_2016_CR_0.pdf",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DK0010274414","DK",2016,"EUR"
"74","DK0010274414_2016_GC_0.pdf",0,0,2,4,1,0,2,14,0,1,0,0,5,0,0,2,8,2,0,0,0,"DK0010274414","DK",2016,"EUR"
"75","DK0010274414_2016_SR_0.pdf",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"DK0010274414","DK",2016,"EUR"
"76","DK0010274414_2020_SR_0.pdf",0,0,23,1,1,0,8,5,0,6,0,0,27,0,5,7,6,40,0,0,0,"DK0010274414","DK",2020,"EUR"
"77","DK0060336014_2016_IR_0.pdf",3,2,2,0,0,6,26,1,1,6,0,0,20,0,2,13,10,14,2,9,0,"DK0060336014","DK",2016,"EUR"
"78","DK0060336014_2020_IR_0.pdf",0,3,1,0,2,6,18,1,0,7,0,0,25,0,9,4,4,27,7,1,0,"DK0060336014","DK",2020,"EUR"
"79","ES0105046009_2016_IR_0.pdf",4,8,3,2,3,2,28,6,2,4,0,1,16,0,10,21,16,6,2,24,10,"ES0105046009","ES",2016,"EUR"
"80","ES0105046009_2020_IR_0.pdf",2,3,18,1,8,5,43,11,0,10,4,2,74,0,13,18,27,78,0,206,0,"ES0105046009","ES",2020,"EUR"
