ISIN,company_name
jp3198900007,oriental land co. ltd.
jp3942400007,astellas pharma inc.
jp3951600000,uni-charm corp.
jp3173400007,obic co. ltd.
jp3802400006,fanuc ltd.
tw0001326007,formosa chemicals & fibre corp
jp3197600004,ono pharmaceutical co. ltd.
jp3634600005,toyota industries corp.
jp3476480003,dai-ichi life holdings
jp3371200001,shin-etsu chemical co. ltd.
jp3143600009,itochu corp.
jp3496400007,kddi corp.
jp3814800003,subaru corporation
kr7005380001,hyundai motor co
jp3381000003,nippon steel
jp3830800003,bridgestone corp.
tw0002886009,mega financial holding co ltd
jp3933800009,z holdings
kr7068270008,celltrion
kr7012330007,hyundai mobis
tw0001216000,uni-president enterprises corp
jp3890350006,sumitomo mitsui financial grou
jp3358000002,shimano inc.
jp3802300008,fast retailing co. ltd.
jp3898400001,mitsubishi corp.
jp3205800000,kao corp.
kr7005930003,samsung electronics co ltd
kr7006400006,samsung sdi co ltd
jp3240400006,kikkoman corp.
jp3119600009,ajinomoto co. inc.
tw0002002003,china steel corp
jp3249600002,kyocera corp.
tw0002882008,cathay financial holding co lt
tw0002454006,mediatek inc
jp3421800008,secom co. ltd.
jp3893200000,mitsui fudosan co. ltd.
jp3200450009,orix corp.
jp3571400005,tokyo electron ltd.
jp3726800000,japan tobacco inc.
jp3422950000,seven & i holdings co. ltd.
jp3505000004,daiwa house industry co. ltd.
kr7005490008,posco
tw0002303005,united microelectronics corp
jp3758190007,nexon
jp3304200003,komatsu ltd.
jp3188220002,otsuka holdings
jp3633400001,toyota motor corp.
tw0002881000,fubon financial holding co ltd
jp3814000000,fujifilm holdings corp.
jp3752900005,japan post holdings
jp3902400005,mitsubishi electric corp.
kr7105560007,kb financial group inc
jp3890310000,ms&ad insurance group holdings
jp3475350009,daiichi sankyo co. ltd.
jp3236200006,keyence corp.
jp3497400006,daifuku
kr7035420009,naver corp
jp3756100008,nitori co. ltd.
jp3409000001,sumitomo realty & development
jp3732000009,softbank
jp3116000005,asahi group hdgs
kr7028260008,samsung c&t corp
jp3893600001,mitsui & co. ltd.
jp3592200004,toshiba corp.
jp3566800003,central japan railway co.
jp3854600008,honda motor co. ltd.
jp3778630008,bandai namco holdings inc.
jp3519400000,chugai pharmaceutical co. ltd.
kr7017670001,sk telecom
jp3546800008,terumo corp.
tw0001303006,nan ya plastics corp
jp3783600004,east japan railway co.
jp3538800008,tdk corp.
tw0002317005,hon hai precision industry co
jp3788600009,hitachi ltd.
jp3351600006,shiseido co. ltd.
kr7000270009,kia motors corp
jp3899600005,mitsubishi estate co. ltd.
jp3866800000,panasonic corp.
kr7035720002,kakao corp
tw0002412004,chunghwa telecom co ltd
jp3910660004,tokio marine holdings inc.
jp3386450005,eneos holdings
jp3463000004,takeda pharmaceutical co. ltd.
jp3201200007,olympus corp.
jp3756600007,nintendo co. ltd.
jp3551500006,denso corp.
jp3397200001,suzuki motor corp.
jp3734800000,nidec corp.
jp3970300004,recruit holdings
jp3762600009,nomura holdings inc.
jp3122400009,advantest corp.
jp3762800005,nomura research institute ltd.
tw0001301000,formosa plastics corp
jp3160400002,eisai co. ltd.
jp3197800000,omron corp.
jp3242800005,canon inc.
jp3735400008,nippon telegraph & telephone c
kr7036570000,ncsoft
jp3258000003,kirin holdings co. ltd.
us0605051046,bank of america corp.
us92343v1044,verizon communications inc.
us22160k1051,costco wholesale corp.
us9078181081,union pacific corp.
us0970231058,boeing co.
us88579y1010,3m co.
us5128071082,lam research corp.
us78409v1044,s&p global
us6092071058,mondelez
us98978v1035,zoetis 'a'
us6934751057,pnc financial services group i
us37045v1008,general motors
us00507v1098,activision blizzard inc.
us31428x1063,fedex corp.
us1941621039,colgate-palmolive co.
us5184391044,estee lauder cos. inc.
us0091581068,air products & chemicals inc.
us8725901040,t-mobile us inc
us75886f1075,regeneron pharms.
us6516391066,newmont
us3453708600,ford motor co.
us35671d8570,freeport-mcmoran
us4943681035,kimberly-clark corp.
us45168d1046,idexx laboratories
us40434l1052,hp inc.
us2855121099,electronic arts inc.
us21036p1084,constellation brands 'a'
us2310211063,cummins inc.
us77543r1023,roku
us0010551028,aflac inc.
us98956p1021,zimmer biomet holdings
us8936411003,transdigm group
us8545021011,stanley black & decker inc.
us6200763075,motorola solutions inc.
us58155q1031,mckesson corp.
us2473617023,delta air lines inc.
us23331a1097,d.r. horton inc.
us0311001004,ametek inc.
us49271v1008,keurig dr pepper
us5260571048,lennar 'a'
us0584981064,ball corp.
us5926881054,mettler-toledo international i
us5010441013,kroger co.
us88339j1051,trade desk cl.a
nl0009434992,lyondellbasell industries
us6792951054,okta cl.a
us9892071054,zebra techs. 'a'
us34959e1091,fortinet
us57772k1016,maxim integrated products inc.
us6703461052,nucor corp.
us3635761097,arthur j gallagher
us4165151048,hartford financial services gr
us0152711091,alexandria rlst.eqties.
us5303073051,liberty broadband cl c
